,省份,时间,学科类别,批次,分数线
0,北京,2019年,文科,本科批,480
1,北京,2019年,理科,本科批,423
2,北京,2019年,文科,自主招生线,559
3,北京,2019年,理科,自主招生线,527
4,北京,2019年,文科,艺术类本科,335
5,北京,2019年,理科,艺术类本科,295
6,北京,2019年,文科,体育类本科,330
7,北京,2019年,理科,体育类本科,300
8,北京,2019年,文科,专科提前批面试线,120
9,北京,2019年,理科,专科提前批面试线,120
10,北京,2018年,文科,一批,576
11,北京,2018年,理科,一批,532
12,北京,2018年,文科,二批,488
13,北京,2018年,理科,二批,432
14,北京,2018年,文科,艺术类本科,340
15,北京,2018年,理科,艺术类本科,300
16,北京,2018年,文科,体育,340
17,北京,2018年,理科,体育,300
18,北京,2018年,文科,专科,150
19,北京,2018年,理科,专科,150
20,北京,2017年,文科,一批,555
21,北京,2017年,理科,一批,537
22,北京,2017年,文科,二批,468
23,北京,2017年,理科,二批,439
24,北京,2017年,文科,专科,150
25,北京,2017年,理科,专科,150
26,北京,2017年,文科,艺术,320
27,北京,2017年,理科,艺术,300
28,北京,2017年,文科,体育,320
29,北京,2017年,理科,体育,300
30,北京,2016年,文科,一批,583
31,北京,2016年,理科,一批,548
32,北京,2016年,文科,二批,532
33,北京,2016年,理科,二批,494
34,北京,2016年,文科,三批,488
35,北京,2016年,理科,三批,438
36,北京,2016年,文科,专科,150
37,北京,2016年,理科,专科,150
38,北京,2016年,文科,艺术类,346
39,北京,2016年,理科,艺术类,321
40,北京,2016年,文科,体育类,350
41,北京,2016年,理科,体育类,330
42,北京,2015年,文科,一批,579
43,北京,2015年,理科,一批,548
44,北京,2015年,文科,二批,527
45,北京,2015年,理科,二批,495
46,北京,2015年,文科,三批,477
47,北京,2015年,理科,三批,452
48,北京,2015年,文科,专科,150
49,北京,2015年,理科,专科,150
50,北京,2015年,文科,艺术类,342
51,北京,2015年,理科,艺术类,321
52,北京,2015年,文科,体育类,350
53,北京,2015年,理科,体育类,350
54,北京,2014年,文科,一批,565
55,北京,2014年,理科,一批,543
56,北京,2014年,文科,二批,507
57,北京,2014年,理科,二批,495
58,北京,2014年,文科,三批,458
59,北京,2014年,理科,三批,466
60,北京,2014年,文科,专科,150
61,北京,2014年,理科,专科,150
62,北京,2014年,文科,艺术类,329
63,北京,2014年,理科,艺术类,321
64,北京,2014年,文科,体育类,350
65,北京,2014年,理科,体育类,350
66,天津,2019年,文科,本科批,428
67,天津,2019年,理科,本科批,400
68,天津,2019年,文科,自主招生参考线,500
69,天津,2019年,理科,自主招生参考线,551
70,天津,2019年,文科,艺术类本科,299
71,天津,2019年,理科,艺术类本科,280
72,天津,2019年,文科,体育类本科,380
73,天津,2019年,理科,体育类本科,374
74,天津,2018年,文科,本科批,436
75,天津,2018年,理科,本科批,407
76,天津,2018年,文科,高职,130
77,天津,2018年,理科,高职,130
78,天津,2017年,文科,一批,531
79,天津,2017年,理科,一批,521
80,天津,2017年,文科,二批,401
81,天津,2017年,理科,二批,395
82,天津,2017年,文科,艺术,280
83,天津,2017年,理科,艺术,276
84,天津,2017年,文科,体育,394
85,天津,2017年,理科,体育,374
86,天津,2016年,文科,一批,532
87,天津,2016年,理科,一批,512
88,天津,2016年,文科,二批,460
89,天津,2016年,理科,二批,424
90,天津,2016年,文科,专科,200
91,天津,2016年,理科,专科,200
92,天津,2015年,文科,一批,547
93,天津,2015年,理科,一批,538
94,天津,2015年,文科,二批,486
95,天津,2015年,理科,二批,459
96,天津,2014年,文科,一批,523
97,天津,2014年,理科,一批,516
98,天津,2014年,文科,二批,462
99,天津,2014年,理科,二批,439
100,天津,2014年,文科,艺术类,300
101,天津,2014年,理科,艺术类,285
102,天津,2014年,文科,体育,395
103,天津,2014年,理科,体育,366
104,上海,2019年,综合,自主招生控制分数线,503
105,上海,2019年,综合,本科录取控制分数线,403
106,上海,2019年,综合,体育类本科文化控制分数线,282
107,上海,2019年,综合,艺术类本科文化控制分数线,262
108,上海,2018年,综合,自主招生控制分数线,502
109,上海,2018年,综合,本科录取控制分数线,401
110,上海,2018年,综合,体育类本科文化控制分数线,281
111,上海,2018年,综合,艺术类本科文化控制分数线,261
112,上海,2018年,综合,高职(专科),143
113,上海,2017年,综合,自主招生控制分数线,501
114,上海,2017年,综合,本科录取控制分数线,402
115,上海,2017年,综合,体育类本科文化控制分数线,281
116,上海,2017年,综合,艺术类本科文化控制分数线,261
117,上海,2016年,文科,自主招生,450
118,上海,2016年,理科,自主招生,438
119,上海,2016年,文科,本科,368
120,上海,2016年,理科,本科,360
121,上海,2016年,文科,专科,165
122,上海,2016年,理科,专科,229
123,上海,2016年,文科,体育类本科,258
124,上海,2016年,理科,体育类本科,252
125,上海,2016年,文科,艺术类本科,239
126,上海,2016年,理科,艺术类本科,234
127,上海,2015年,文科,一批,434
128,上海,2015年,理科,一批,414
129,上海,2015年,文科,农村专项计划,414
130,上海,2015年,理科,农村专项计划,394
131,上海,2015年,文科,二批,372
132,上海,2015年,理科,二批,348
133,上海,2015年,文科,体育类文化本科,260
134,上海,2015年,理科,体育类文化本科,244
135,上海,2015年,文科,艺术类本科,242
136,上海,2015年,理科,艺术类本科,226
137,上海,2014年,文科,一批,444
138,上海,2014年,理科,一批,423
139,上海,2014年,文科,二批,390
140,上海,2014年,理科,二批,351
141,重庆,2019年,文科,一批,545
142,重庆,2019年,理科,一批,525
143,重庆,2019年,文科,二批,458
144,重庆,2019年,理科,二批,435
145,重庆,2019年,文科,高职(专科),180
146,重庆,2019年,理科,高职(专科),180
147,重庆,2018年,文科,一批,524
148,重庆,2018年,理科,一批,524
149,重庆,2018年,文科,二批,434
150,重庆,2018年,理科,二批,428
151,重庆,2018年,文科,高职(专科),140
152,重庆,2018年,理科,高职(专科),140
153,重庆,2017年,文科,一批,525
154,重庆,2017年,理科,一批,492
155,重庆,2017年,文科,二批,436
156,重庆,2017年,理科,二批,395
157,重庆,2017年,文科,高职(专科),140
158,重庆,2017年,理科,高职(专科),140
159,重庆,2016年,文科,一批,527
160,重庆,2016年,理科,一批,525
161,重庆,2016年,文科,二批,435
162,重庆,2016年,理科,二批,416
163,重庆,2016年,文科,专科,140
164,重庆,2016年,理科,专科,140
165,重庆,2015年,文科,一批,572
166,重庆,2015年,理科,一批,573
167,重庆,2015年,文科,二批,532
168,重庆,2015年,理科,二批,527
169,重庆,2015年,文科,三批,482
170,重庆,2015年,理科,三批,485
171,重庆,2015年,文科,专科一段,240
172,重庆,2015年,理科,专科一段,224
173,重庆,2015年,文科,专科二段,140
174,重庆,2015年,理科,专科二段,150
175,重庆,2014年,文科,一批,555
176,重庆,2014年,理科,一批,514
177,重庆,2014年,文科,二批,507
178,重庆,2014年,理科,二批,455
179,重庆,2014年,文科,三批,466
180,重庆,2014年,理科,三批,422
181,重庆,2014年,文科,专科一批,234
182,重庆,2014年,理科,专科一批,213
183,重庆,2014年,文科,专科二批,160
184,重庆,2014年,理科,专科二批,150
185,河北,2019年,文科,一批,549
186,河北,2019年,理科,一批,502
187,河北,2019年,文科,二批,461
188,河北,2019年,理科,二批,379
189,河北,2019年,文科,专科,220
190,河北,2019年,理科,专科,200
191,河北,2019年,文科,艺术,284
192,河北,2019年,理科,艺术,284
193,河北,2019年,文科,体育,303/275（本）
194,河北,2019年,理科,体育,210/275（本）
195,河北,2018年,文科,一批,559
196,河北,2018年,理科,一批,511
197,河北,2018年,文科,二批,441
198,河北,2018年,理科,二批,358
199,河北,2018年,文科,专科,200
200,河北,2018年,理科,专科,200
201,河北,2017年,文科,一批,517
202,河北,2017年,理科,一批,485
203,河北,2017年,文科,二批,395
204,河北,2017年,理科,二批,326
205,河北,2017年,文科,专科,200
206,河北,2017年,理科,专科,200
207,河北,2016年,文科,一批,535
208,河北,2016年,理科,一批,525
209,河北,2016年,文科,二批,416
210,河北,2016年,理科,二批,364
211,河北,2016年,文科,专科,200
212,河北,2016年,理科,专科,200
213,河北,2015年,文科,一批,548
214,河北,2015年,理科,一批,544
215,河北,2015年,文科,二批,496
216,河北,2015年,理科,二批,474
217,河北,2015年,文科,三批,404
218,河北,2015年,理科,三批,335
219,河北,2015年,文科,专科,200
220,河北,2015年,理科,专科,200
221,河北,2014年,文科,一批,563
222,河北,2014年,理科,一批,573
223,河北,2014年,文科,二批,513
224,河北,2014年,理科,二批,503
225,河北,2014年,文科,三批,415
226,河北,2014年,理科,三批,326
227,山西,2019年,文科,一批,542
228,山西,2019年,理科,一批,507
229,山西,2019年,文科,二批,481
230,山西,2019年,理科,二批,432
231,山西,2019年,文科,艺术类一批,379
232,山西,2019年,理科,艺术类一批,355
233,山西,2019年,文科,艺术类二批,337
234,山西,2019年,理科,艺术类二批,302
235,山西,2019年,文科,体育类一批,434
236,山西,2019年,理科,体育类一批,406
237,山西,2019年,文科,体育类二批,385
238,山西,2019年,理科,体育类二批,346
239,山西,2018年,文科,一批,546
240,山西,2018年,理科,一批,516
241,山西,2018年,文科,二批,476
242,山西,2018年,理科,二批,432
243,山西,2018年,文科,艺术类一批,355
244,山西,2018年,理科,艺术类一批,335
245,山西,2018年,文科,体育类一批,437
246,山西,2018年,理科,体育类一批,413
247,山西,2018年,文科,高职(专科),150
248,山西,2018年,理科,高职(专科),150
249,山西,2017年,文科,一批,518
250,山西,2017年,理科,一批,481
251,山西,2017年,文科,二批,452
252,山西,2017年,理科,二批,400
253,山西,2017年,文科,艺术类一批,337
254,山西,2017年,理科,艺术类一批,313
255,山西,2017年,文科,艺术类二批,294
256,山西,2017年,理科,艺术类二批,260
257,山西,2017年,文科,体育类一批,414
258,山西,2017年,理科,体育类一批,385
259,山西,2017年,文科,体育类二批,362
260,山西,2017年,理科,体育类二批,320
261,山西,2016年,文科,一批,518
262,山西,2016年,理科,一批,519
263,山西,2016年,文科,二批,460
264,山西,2016年,理科,二批,438
265,山西,2016年,文科,艺术类一批,337
266,山西,2016年,理科,艺术类一批,337
267,山西,2016年,文科,艺术类二批,299
268,山西,2016年,理科,艺术类二批,285
269,山西,2016年,文科,体育类一批,414
270,山西,2016年,理科,体育类一批,415
271,山西,2016年,文科,体育类二批,368
272,山西,2016年,理科,体育类二批,350
273,山西,2015年,文科,一批,513
274,山西,2015年,理科,一批,515
275,山西,2015年,文科,二批,462
276,山西,2015年,理科,二批,442
277,山西,2015年,文科,艺术类一批,333
278,山西,2015年,理科,艺术类一批,335
279,山西,2015年,文科,艺术类二批,300
280,山西,2015年,理科,艺术类二批,287
281,山西,2015年,文科,体育类一批,410
282,山西,2015年,理科,体育类一批,412
283,山西,2015年,文科,体育类二批,370
284,山西,2015年,理科,体育类二批,354
285,山西,2014年,文科,一批,526
286,山西,2014年,理科,一批,534
287,山西,2014年,文科,二批,478
288,山西,2014年,理科,二批,462
289,山西,2014年,文科,艺术类一批,342
290,山西,2014年,理科,艺术类一批,347
291,山西,2014年,文科,艺术类二批,311
292,山西,2014年,理科,艺术类二批,300
293,山西,2014年,文科,体育类一批,421
294,山西,2014年,理科,体育类一批,427
295,山西,2014年,文科,体育类二批,382
296,山西,2014年,理科,体育类二批,370
297,内蒙古,2019年,文科,一批,522
298,内蒙古,2019年,理科,一批,477
299,内蒙古,2019年,文科,二批,436
300,内蒙古,2019年,理科,二批,352
301,内蒙古,2019年,文科,专科,160
302,内蒙古,2019年,理科,专科,160
303,内蒙古,2019年,文科,蒙授本科一批,398
304,内蒙古,2019年,理科,蒙授本科一批,348
305,内蒙古,2019年,文科,蒙授本科二批,320
306,内蒙古,2019年,理科,蒙授本科二批,274
307,内蒙古,2019年,文科,蒙授高职高专,120
308,内蒙古,2019年,理科,蒙授高职高专,120
309,内蒙古,2018年,文科,一批,501
310,内蒙古,2018年,理科,一批,478
311,内蒙古,2018年,文科,二批,399
312,内蒙古,2018年,理科,二批,336
313,内蒙古,2018年,文科,专科,160
314,内蒙古,2018年,理科,专科,160
315,内蒙古,2018年,文科,蒙授本科一批,390
316,内蒙古,2018年,理科,蒙授本科一批,368
317,内蒙古,2018年,文科,蒙授本科二批,307
318,内蒙古,2018年,理科,蒙授本科二批,298
319,内蒙古,2018年,文科,蒙授高职高专,120
320,内蒙古,2018年,理科,蒙授高职高专,120
321,内蒙古,2017年,文科,普通本科一批,472
322,内蒙古,2017年,理科,普通本科一批,466
323,内蒙古,2017年,文科,普通本科二批,375
324,内蒙古,2017年,理科,普通本科二批,328
325,内蒙古,2017年,文科,普通高职高专,160
326,内蒙古,2017年,理科,普通高职高专,160
327,内蒙古,2017年,文科,蒙授本科一批,380
328,内蒙古,2017年,理科,蒙授本科一批,345
329,内蒙古,2017年,文科,蒙授本科二批,308
330,内蒙古,2017年,理科,蒙授本科二批,278
331,内蒙古,2017年,文科,蒙授高职高专,120
332,内蒙古,2017年,理科,蒙授高职高专,120
333,内蒙古,2016年,文科,普通本科一批,477
334,内蒙古,2016年,理科,普通本科一批,484
335,内蒙古,2016年,文科,普通本科二批,375
336,内蒙古,2016年,理科,普通本科二批,346
337,内蒙古,2016年,文科,普通高职高专,160
338,内蒙古,2016年,理科,普通高职高专,160
339,内蒙古,2016年,文科,蒙授本科一批,366
340,内蒙古,2016年,理科,蒙授本科一批,358
341,内蒙古,2016年,文科,蒙授本科二批,289
342,内蒙古,2016年,理科,蒙授本科二批,277
343,内蒙古,2016年,文科,蒙授高职高专,120
344,内蒙古,2016年,理科,蒙授高职高专,120
345,内蒙古,2015年,文科,普通本科一批,487
346,内蒙古,2015年,理科,普通本科一批,464
347,内蒙古,2015年,文科,普通本科二批,385
348,内蒙古,2015年,理科,普通本科二批,336
349,内蒙古,2015年,文科,普通高职高专,160
350,内蒙古,2015年,理科,普通高职高专,160
351,内蒙古,2015年,文科,蒙授本科一批,337
352,内蒙古,2015年,理科,蒙授本科一批,293
353,内蒙古,2015年,文科,蒙授本科二批,240
354,内蒙古,2015年,理科,蒙授本科二批,201
355,内蒙古,2015年,文科,蒙授高职高专,120
356,内蒙古,2015年,理科,蒙授高职高专,120
357,内蒙古,2014年,文科,普通本科一批,525
358,内蒙古,2014年,理科,普通本科一批,501
359,内蒙古,2014年,文科,普通本科二批,455
360,内蒙古,2014年,理科,普通本科二批,388
361,内蒙古,2014年,文科,普通高职高专,160
362,内蒙古,2014年,理科,普通高职高专,160
363,内蒙古,2014年,文科,蒙授本科一批,367
364,内蒙古,2014年,理科,蒙授本科一批,323
365,内蒙古,2014年,文科,蒙授本科二批,258
366,内蒙古,2014年,理科,蒙授本科二批,211
367,内蒙古,2014年,文科,蒙授高职高专,120
368,内蒙古,2014年,理科,蒙授高职高专,120
369,辽宁,2019年,文科,自主招生,564
370,辽宁,2019年,理科,自主招生,512
371,辽宁,2019年,文科,本科,482
372,辽宁,2019年,理科,本科,369
373,辽宁,2019年,文科,专科,150
374,辽宁,2019年,理科,专科,150
375,辽宁,2019年,文科,体育类本专科,150
376,辽宁,2019年,理科,体育类本专科,150
377,辽宁,2019年,文科,艺术类本科,337
378,辽宁,2019年,理科,艺术类本科,258
379,辽宁,2018年,文科,自主招生,553
380,辽宁,2018年,理科,自主招生,517
381,辽宁,2018年,文科,本科,461
382,辽宁,2018年,理科,本科,368
383,辽宁,2018年,文科,专科,180
384,辽宁,2018年,理科,专科,180
385,辽宁,2017年,文科,一批,532
386,辽宁,2017年,理科,一批,480
387,辽宁,2017年,文科,二批,428
388,辽宁,2017年,理科,二批,350
389,辽宁,2017年,文科,高职(专科),180
390,辽宁,2017年,理科,高职(专科),180
391,辽宁,2017年,文科,艺术类普通本科,278
392,辽宁,2017年,理科,艺术类普通本科,228
393,辽宁,2017年,文科,艺术类高职高专,180
394,辽宁,2017年,理科,艺术类高职高专,180
395,辽宁,2017年,文科,体育类本、专科,180
396,辽宁,2017年,理科,体育类本、专科,180
397,辽宁,2016年,文科,一批,525
398,辽宁,2016年,理科,一批,498
399,辽宁,2016年,文科,二批,417
400,辽宁,2016年,理科,二批,373
401,辽宁,2016年,文科,高职专科,180
402,辽宁,2016年,理科,高职专科,180
403,辽宁,2016年,文科,高水平运动队,296
404,辽宁,2016年,理科,高水平运动队,267
405,辽宁,2016年,文科,艺术类本科,296
406,辽宁,2016年,理科,艺术类本科,267
407,辽宁,2016年,文科,体育类本、专科,180
408,辽宁,2016年,理科,体育类本、专科,180
409,辽宁,2015年,文科,一批,530
410,辽宁,2015年,理科,一批,500
411,辽宁,2015年,文科,二批,460
412,辽宁,2015年,理科,二批,419
413,辽宁,2015年,文科,三批,395
414,辽宁,2015年,理科,三批,345
415,辽宁,2015年,文科,专科,180
416,辽宁,2015年,理科,专科,180
417,辽宁,2015年,文科,艺术类本科,299
418,辽宁,2015年,理科,艺术类本科,272
419,辽宁,2015年,文科,体育类本、专科,180
420,辽宁,2015年,理科,体育类本、专科,180
421,辽宁,2014年,文科,一批,552
422,辽宁,2014年,理科,一批,526
423,辽宁,2014年,文科,二批,490
424,辽宁,2014年,理科,二批,450
425,辽宁,2014年,文科,三批,430
426,辽宁,2014年,理科,三批,380
427,辽宁,2014年,文科,专科,220
428,辽宁,2014年,理科,专科,200
429,辽宁,2014年,文科,艺术类本科,320
430,辽宁,2014年,理科,艺术类本科,290
431,辽宁,2014年,文科,体育类本、专科,200
432,辽宁,2014年,理科,体育类本、专科,200
433,吉林,2019年,文科,一批,544
434,吉林,2019年,理科,一批,530
435,吉林,2019年,文科,二批,372
436,吉林,2019年,理科,二批,350
437,吉林,2019年,文科,体育类普通本科,344
438,吉林,2019年,理科,体育类普通本科,310
439,吉林,2019年,文科,艺术类普通本科,279
440,吉林,2019年,理科,艺术类普通本科,263
441,吉林,2018年,文科,一批,542
442,吉林,2018年,理科,一批,533
443,吉林,2018年,文科,二批,432
444,吉林,2018年,理科,二批,405
445,吉林,2018年,文科,三批,316
446,吉林,2018年,理科,三批,283
447,吉林,2018年,文科,体育类普通本科,332
448,吉林,2018年,理科,体育类普通本科,304
449,吉林,2018年,文科,艺术类普通本科,280
450,吉林,2018年,理科,艺术类普通本科,263
451,吉林,2018年,文科,高职,150
452,吉林,2018年,理科,高职,150
453,吉林,2017年,文科,一批,528
454,吉林,2017年,理科,一批,507
455,吉林,2017年,文科,二批,412
456,吉林,2017年,理科,二批,379
457,吉林,2017年,文科,三批,286
458,吉林,2017年,理科,三批,260
459,吉林,2017年,文科,体育类普通本科,316
460,吉林,2017年,理科,体育类普通本科,271
461,吉林,2017年,文科,艺术类普通本科,267
462,吉林,2017年,理科,艺术类普通本科,246
463,吉林,2016年,文科,一批,531
464,吉林,2016年,理科,一批,530
465,吉林,2016年,文科,二批,413
466,吉林,2016年,理科,二批,402
467,吉林,2016年,文科,三批,275
468,吉林,2016年,理科,三批,286
469,吉林,2016年,文科,高职(专科),150
470,吉林,2016年,理科,高职(专科),150
471,吉林,2016年,文科,体育类本科,290
472,吉林,2016年,理科,体育类本科,256
473,吉林,2016年,文科,艺术类本科,268
474,吉林,2016年,理科,艺术类本科,261
475,吉林,2015年,文科,一批,543
476,吉林,2015年,理科,一批,525
477,吉林,2015年,文科,二批,433
478,吉林,2015年,理科,二批,405
479,吉林,2015年,文科,三批,300
480,吉林,2015年,理科,三批,305
481,吉林,2015年,文科,艺术类本科,281
482,吉林,2015年,理科,艺术类本科,263
483,吉林,2015年,文科,体育类本科,310
484,吉林,2015年,理科,体育类本科,270
485,吉林,2014年,文科,一批,560
486,吉林,2014年,理科,一批,555
487,吉林,2014年,文科,二批,459
488,吉林,2014年,理科,二批,445
489,吉林,2014年,文科,三批,350
490,吉林,2014年,理科,三批,350
491,吉林,2014年,文科,艺术类本科,298
492,吉林,2014年,理科,艺术类本科,290
493,吉林,2014年,文科,体育类本科,320
494,吉林,2014年,理科,体育类本科,280
495,黑龙江,2019年,文科,一批,500
496,黑龙江,2019年,理科,一批,477
497,黑龙江,2019年,文科,二批,424
498,黑龙江,2019年,理科,二批,372
499,黑龙江,2019年,文科,艺术类本科,254
500,黑龙江,2019年,理科,艺术类本科,236
501,黑龙江,2019年,文科,体育类本科,254
502,黑龙江,2019年,理科,体育类本科,223
503,黑龙江,2019年,文科,本科三批,348
504,黑龙江,2019年,理科,本科三批,324
505,黑龙江,2019年,文科,高职专科,160
506,黑龙江,2019年,理科,高职专科,160
507,黑龙江,2018年,文科,一批,490
508,黑龙江,2018年,理科,一批,472
509,黑龙江,2018年,文科,二批,406
510,黑龙江,2018年,理科,二批,353
511,黑龙江,2018年,文科,高职,160
512,黑龙江,2018年,理科,高职,160
513,黑龙江,2017年,文科,一批,481
514,黑龙江,2017年,理科,一批,455
515,黑龙江,2017年,文科,二批,400
516,黑龙江,2017年,理科,二批,335
517,黑龙江,2017年,文科,艺术类本科,239
518,黑龙江,2017年,理科,艺术类本科,212
519,黑龙江,2017年,文科,体育类本科,240
520,黑龙江,2017年,理科,体育类本科,201
521,黑龙江,2016年,文科,一批,481
522,黑龙江,2016年,理科,一批,486
523,黑龙江,2016年,文科,二批,401
524,黑龙江,2016年,理科,二批,369
525,黑龙江,2016年,文科,高职(专科),160
526,黑龙江,2016年,理科,高职(专科),160
527,黑龙江,2016年,文科,艺术类本科,242
528,黑龙江,2016年,理科,艺术类本科,234
529,黑龙江,2016年,文科,体育类本科,240
530,黑龙江,2016年,理科,体育类本科,221
531,黑龙江,2015年,文科,一批,495
532,黑龙江,2015年,理科,一批,483
533,黑龙江,2015年,文科,二批,410
534,黑龙江,2015年,理科,二批,371
535,黑龙江,2015年,文科,三批,333
536,黑龙江,2015年,理科,三批,310
537,黑龙江,2015年,文科,艺术类本科,249
538,黑龙江,2015年,理科,艺术类本科,235
539,黑龙江,2015年,文科,体育类本科,246
540,黑龙江,2015年,理科,体育类本科,222
541,黑龙江,2014年,文科,一批,541
542,黑龙江,2014年,理科,一批,529
543,黑龙江,2014年,文科,二批,454
544,黑龙江,2014年,理科,二批,414
545,黑龙江,2014年,文科,三批,378
546,黑龙江,2014年,理科,三批,330
547,黑龙江,2014年,文科,艺术类本科,277
548,黑龙江,2014年,理科,艺术类本科,262
549,山东,2019年,文科,本科批,503
550,山东,2019年,理科,本科批,443
551,山东,2019年,文科,自主招生参考线,542
552,山东,2019年,理科,自主招生参考线,514
553,山东,2019年,文科,高水平运动员,326
554,山东,2019年,理科,高水平运动员,287
555,山东,2019年,文科,艺术类本科,326
556,山东,2019年,理科,艺术类本科,287
557,山东,2018年,文科,本科批,505
558,山东,2018年,理科,本科批,435
559,山东,2018年,文科,自主招生,550
560,山东,2018年,理科,自主招生,517
561,山东,2018年,文科,高水平运动员,328
562,山东,2018年,理科,高水平运动员,282
563,山东,2018年,文科,艺术类本科,328
564,山东,2018年,理科,艺术类本科,282
565,山东,2018年,文科,高职(专科),170
566,山东,2018年,理科,高职(专科),170
567,山东,2017年,文科,本科普通批,483
568,山东,2017年,理科,本科普通批,433
569,山东,2017年,文科,自主招生,529
570,山东,2017年,理科,自主招生,515
571,山东,2017年,文科,艺术类,313
572,山东,2017年,理科,艺术类,281
573,山东,2017年,文科,体育类,483
574,山东,2017年,理科,体育类,433
575,山东,2016年,文科,一批,530
576,山东,2016年,理科,一批,537
577,山东,2016年,文科,二批,474
578,山东,2016年,理科,二批,451
579,山东,2016年,文科,高职,170
580,山东,2016年,理科,高职,170
581,山东,2016年,文科,艺术类,308
582,山东,2016年,理科,艺术类,293
583,山东,2016年,文科,体育类,306
584,山东,2016年,理科,体育类,306
585,山东,2015年,文科,一批,568
586,山东,2015年,理科,一批,562
587,山东,2015年,文科,二批,510
588,山东,2015年,理科,二批,490
589,山东,2014年,文科,一批,579
590,山东,2014年,理科,一批,572
591,山东,2014年,文科,军检线,554
592,山东,2014年,理科,军检线,547
593,江苏,2019年,文科,一批,339
594,江苏,2019年,理科,一批,345
595,江苏,2019年,文科,二批,277
596,江苏,2019年,理科,二批,307
597,江苏,2018年,文科,一批,337
598,江苏,2018年,理科,一批,336
599,江苏,2018年,文科,二批,281
600,江苏,2018年,理科,二批,285
601,江苏,2018年,文科,高职(专科),228
602,江苏,2018年,理科,高职(专科),248
603,江苏,2017年,文科,一批,333
604,江苏,2017年,理科,一批,331
605,江苏,2017年,文科,二批,281
606,江苏,2017年,理科,二批,269
607,江苏,2016年,文科,一批,355
608,江苏,2016年,理科,一批,353
609,江苏,2016年,文科,二批,325
610,江苏,2016年,理科,二批,315
611,江苏,2016年,文科,三批,282
612,江苏,2016年,理科,三批,265
613,江苏,2016年,文科,专科,210
614,江苏,2016年,理科,专科,210
615,江苏,2016年,文科,体育类,232
616,江苏,2016年,理科,体育类,232
617,江苏,2015年,文科,一批,342
618,江苏,2015年,理科,一批,344
619,江苏,2015年,文科,二批,313
620,江苏,2015年,理科,二批,310
621,江苏,2015年,文科,三批,288
622,江苏,2015年,理科,三批,278
623,江苏,2014年,文科,一批,333
624,江苏,2014年,理科,一批,345
625,江苏,2014年,文科,二批,301
626,江苏,2014年,理科,二批,312
627,江苏,2014年,文科,三批,272
